feature_id,feature_name,feature_group,kind,source_table,dependencies,compute_fn,pit_rule,cacheable,formula,yaml_refs,registry_refs,status,notes
roe_delta_252d,roe_delta_252d,fundamental_context,derived,,,,rolling_past,no,252-day change in ROE,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
grossprofit_margin_delta_252d,grossprofit_margin_delta_252d,fundamental_context,derived,,,,rolling_past,no,252-day change in gross profit margin,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
debt_to_assets_delta_252d,debt_to_assets_delta_252d,fundamental_context,derived,,,,rolling_past,no,252-day change in debt-to-assets ratio,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
op_cashflow_delta_252d,op_cashflow_delta_252d,fundamental_context,derived,,,,rolling_past,no,252-day change in operating cash flow,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
pe_rank_252d,pe_rank_252d,fundamental_context,derived,,,,cross_sectional,no,252-day percentile rank of PE,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
pb_rank_252d,pb_rank_252d,fundamental_context,derived,,,,cross_sectional,no,252-day percentile rank of PB,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
pe_delta_120d,pe_delta_120d,fundamental_context,derived,,,,rolling_past,yes,120-day change in PE,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
pb_delta_120d,pb_delta_120d,fundamental_context,derived,,,,rolling_past,yes,120-day change in PB,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
pe_percentile_756d,pe_percentile_756d,fundamental_context,derived,,,,cross_sectional,no,756-day percentile rank of PE,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
pb_percentile_756d,pb_percentile_756d,fundamental_context,derived,,,,cross_sectional,no,756-day percentile rank of PB,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
pe_distance_from_756d_low,pe_distance_from_756d_low,fundamental_context,derived,,,,rolling_past,no,PE distance from 756-day low,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
pb_distance_from_756d_low,pb_distance_from_756d_low,fundamental_context,derived,,,,rolling_past,no,PB distance from 756-day low,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
pe_repair_room_to_median,pe_repair_room_to_median,fundamental_context,derived,,,,cross_sectional,no,PE upside room to 756d median,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
pb_repair_room_to_median,pb_repair_room_to_median,fundamental_context,derived,,,,cross_sectional,no,PB upside room to 756d median,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
earnings_yield_proxy,earnings_yield_proxy,fundamental_context,derived,,,,point_in_time,no,Earnings yield proxy (1 / PE),value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
peg_proxy,peg_proxy,fundamental_context,derived,,,,point_in_time,no,PEG ratio proxy (PE / earnings growth),value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
revenue_yoy_accel,revenue_yoy_accel,fundamental_context,derived,,,,point_in_time,no,Revenue YoY acceleration (delta of YoY rate),value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
profit_yoy_accel,profit_yoy_accel,fundamental_context,derived,,,,point_in_time,no,Profit YoY acceleration (delta of YoY rate),value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
roe_delta_756d,roe_delta_756d,fundamental_context,derived,,,,rolling_past,no,756-day change in ROE,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
net_margin_delta_756d,net_margin_delta_756d,fundamental_context,derived,,,,rolling_past,no,756-day change in net margin,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
ocf_margin,ocf_margin,fundamental_context,derived,,,,point_in_time,no,Operating cash flow margin,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
continuation_candidate_score,continuation_candidate_score,fundamental_context,derived,,,,cross_sectional,no,Continuation trend candidate score,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
repair_candidate_score,repair_candidate_score,fundamental_context,derived,,,,cross_sectional,no,Repair / turnaround candidate score,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
overheat_risk_score,overheat_risk_score,fundamental_context,derived,,,,cross_sectional,no,Overheat / exhaustion risk score,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
value_trap_risk_score,value_trap_risk_score,fundamental_context,derived,,,,cross_sectional,no,Value trap risk score,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,fundamental_context,active,
margin_eligible,margin_eligible,v3a_margin,derived,,,build_margin_features,point_in_time,no,Binary: stock eligible for margin trading,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_margin,active,
margin_balance_to_float_mv,margin_balance_to_float_mv,v3a_margin,derived,,,build_margin_features,point_in_time,no,Margin balance to float market value ratio,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_margin,active,
margin_balance_chg_20d,margin_balance_chg_20d,v3a_margin,derived,,,build_margin_features,rolling_past,yes,20-day change in margin balance,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_margin,active,
margin_balance_chg_60d,margin_balance_chg_60d,v3a_margin,derived,,,build_margin_features,rolling_past,yes,60-day change in margin balance,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_margin,active,
margin_buy_intensity_20d,margin_buy_intensity_20d,v3a_margin,derived,,,build_margin_features,rolling_past,yes,20-day margin buy intensity,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_margin,active,
margin_repay_to_buy_20d,margin_repay_to_buy_20d,v3a_margin,derived,,,build_margin_features,rolling_past,yes,20-day repayment-to-purchase ratio,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_margin,active,
margin_crowding_score,margin_crowding_score,v3a_margin,derived,,,build_margin_features,cross_sectional,no,Margin crowding score,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_margin,active,
margin_trend_confirm_score,margin_trend_confirm_score,v3a_margin,derived,,,build_margin_features,cross_sectional,no,Margin trend confirmation score,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_margin,active,
margin_overheat_risk_score,margin_overheat_risk_score,v3a_margin,derived,,,build_margin_features,cross_sectional,no,Margin overheat risk score,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_margin,active,
holder_num_chg_qoq,holder_num_chg_qoq,v3a_shareholder,derived,,,build_shareholder_features,point_in_time,yes,QoQ change in number of shareholders,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_shareholder,active,
holder_num_chg_2q,holder_num_chg_2q,v3a_shareholder,derived,,,build_shareholder_features,point_in_time,yes,Change in shareholder count over 2 quarters,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_shareholder,active,
avg_shares_per_holder_chg_qoq,avg_shares_per_holder_chg_qoq,v3a_shareholder,derived,,,build_shareholder_features,point_in_time,yes,QoQ change in avg shares per holder,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_shareholder,active,
top10_holder_ratio_chg_qoq,top10_holder_ratio_chg_qoq,v3a_shareholder,derived,,,build_shareholder_features,point_in_time,yes,QoQ change in top-10 holder ratio,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_shareholder,active,
holder_concentration_score,holder_concentration_score,v3a_shareholder,derived,,,build_shareholder_features,point_in_time,no,Shareholder concentration score,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_shareholder,active,
holder_squeeze_score,holder_squeeze_score,v3a_shareholder,derived,,,build_shareholder_features,point_in_time,no,Holder squeeze (tightening) score,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_shareholder,active,
holder_price_confirm_score,holder_price_confirm_score,v3a_shareholder,derived,,,build_shareholder_features,point_in_time,no,Holder concentration and price trend confirmation,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_shareholder,active,
holder_num_stale_days,holder_num_stale_days,v3a_shareholder,derived,,,build_shareholder_features,point_in_time,no,Days since last shareholder data update,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_shareholder,active,
top10_holder_stale_days,top10_holder_stale_days,v3a_shareholder,derived,,,build_shareholder_features,point_in_time,no,Days since last top-10 holder data update,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_shareholder,active,
top10_holder_ratio,top10_holder_ratio,v3a_shareholder,derived,,,build_shareholder_features,rolling_past,no,Top-10 holder ownership ratio,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v3a_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3a_shareholder,active,
trend_consistency_60d,trend_consistency_60d,v3b_price_volume,derived,,,build_v3b_price_volume_features,rolling_past,yes,Trend consistency score over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
trend_consistency_120d,trend_consistency_120d,v3b_price_volume,derived,,,build_v3b_price_volume_features,rolling_past,yes,Trend consistency score over 120d,value_growth_60d_full_price_volume_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
low_vol_uptrend_60d,low_vol_uptrend_60d,v3b_price_volume,derived,,,,rolling_past,yes,Low-volatility uptrend score over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
low_vol_uptrend_120d,low_vol_uptrend_120d,v3b_price_volume,derived,,,,rolling_past,yes,Low-volatility uptrend score over 120d,value_growth_60d_full_price_volume_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
return_drawdown_ratio_60d,return_drawdown_ratio_60d,v3b_price_volume,derived,,,,rolling_past,yes,Return-to-max-drawdown ratio over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
return_drawdown_ratio_120d,return_drawdown_ratio_120d,v3b_price_volume,derived,,,,rolling_past,yes,Return-to-max-drawdown ratio over 120d,value_growth_60d_full_price_volume_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
pullback_recovery_speed_60d,pullback_recovery_speed_60d,v3b_price_volume,derived,,,,rolling_past,yes,Pullback recovery speed over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
new_high_persistence_120d,new_high_persistence_120d,v3b_price_volume,derived,,,,rolling_past,yes,New-high persistence over 120d,value_growth_60d_full_price_volume_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
up_volume_down_volume_ratio_60d,up_volume_down_volume_ratio_60d,v3b_price_volume,derived,,,,rolling_past,yes,Up-volume to down-volume ratio over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
up_volume_down_volume_ratio_120d,up_volume_down_volume_ratio_120d,v3b_price_volume,derived,,,,rolling_past,yes,Up-volume to down-volume ratio over 120d,value_growth_60d_full_price_volume_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
volume_contraction_after_rise_60d,volume_contraction_after_rise_60d,v3b_price_volume,derived,,,,rolling_past,yes,Volume contraction after rise over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
quiet_accumulation_60d,quiet_accumulation_60d,v3b_price_volume,derived,,,,rolling_past,yes,Quiet accumulation score over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
amount_stability_60d,amount_stability_60d,v3b_price_volume,derived,,,,rolling_past,yes,Amount stability (inverse CV) over 60d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
breakout_volume_quality_120d,breakout_volume_quality_120d,v3b_price_volume,derived,,,,rolling_past,yes,Breakout volume quality score over 120d,value_growth_60d_full_price_volume_features; value_growth_60d_structured_price_volume_features; value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,v3b_price_volume,active,
holder_concentration_trend_confirm,holder_concentration_trend_confirm,v3b_interaction,derived,,,build_v3a_v3b_interaction_features,cross_sectional,no,Holder concentration × trend confirmation,value_growth_v3b_pv_interact_features,v3b_interaction,active,
holder_concentration_low_vol_uptrend,holder_concentration_low_vol_uptrend,v3b_interaction,derived,,,,cross_sectional,no,Holder concentration × low-vol uptrend,value_growth_v3b_pv_interact_features,v3b_interaction,active,
holder_concentration_volume_contract,holder_concentration_volume_contract,v3b_interaction,derived,,,,cross_sectional,no,Holder concentration × volume contraction,value_growth_v3b_pv_interact_features,v3b_interaction,active,
margin_holder_trend_confirm,margin_holder_trend_confirm,v3b_interaction,derived,,,,cross_sectional,no,Margin × holder × trend confirmation,value_growth_v3b_pv_interact_features,v3b_interaction,active,
margin_pullback_recovery_confirm,margin_pullback_recovery_confirm,v3b_interaction,derived,,,,cross_sectional,no,Margin × pullback recovery confirmation,value_growth_v3b_pv_interact_features,v3b_interaction,active,
industry_ret_20d,industry_ret_20d,industry_momentum,derived,,,build_industry_momentum_features,cross_sectional,yes,,value_growth_v3a_plus_industry_momentum_features,industry_momentum,active,
industry_ret_60d,industry_ret_60d,industry_momentum,derived,,,build_industry_momentum_features,cross_sectional,yes,,value_growth_v3a_plus_industry_momentum_features,industry_momentum,active,
industry_ret_120d,industry_ret_120d,industry_momentum,derived,,,build_industry_momentum_features,cross_sectional,yes,,value_growth_v3a_plus_industry_momentum_features,industry_momentum,active,
industry_breadth_20d,industry_breadth_20d,industry_momentum,derived,,,build_industry_momentum_features,cross_sectional,yes,,value_growth_v3a_plus_industry_momentum_features,industry_momentum,active,
industry_breadth_60d,industry_breadth_60d,industry_momentum,derived,,,build_industry_momentum_features,cross_sectional,yes,,value_growth_v3a_plus_industry_momentum_features,industry_momentum,active,
industry_new_high_ratio,industry_new_high_ratio,industry_momentum,derived,,,build_industry_momentum_features,cross_sectional,no,,value_growth_v3a_plus_industry_momentum_features,industry_momentum,active,
industry_top_stock_momentum,industry_top_stock_momentum,industry_momentum,derived,,,build_industry_momentum_features,cross_sectional,no,,value_growth_v3a_plus_industry_momentum_features,industry_momentum,active,
industry_volume_expansion,industry_volume_expansion,industry_momentum,derived,,,build_industry_momentum_features,cross_sectional,no,,value_growth_v3a_plus_industry_momentum_features,industry_momentum,active,
stock_minus_industry_ret_20d,stock_minus_industry_ret_20d,industry_momentum,derived,,,build_industry_momentum_features,cross_sectional,yes,,value_growth_v3a_plus_industry_momentum_features,industry_momentum,active,
stock_minus_industry_ret_60d,stock_minus_industry_ret_60d,industry_momentum,derived,,,build_industry_momentum_features,cross_sectional,yes,,value_growth_v3a_plus_industry_momentum_features,industry_momentum,active,
stock_industry_ret_corr_60d,stock_industry_ret_corr_60d,industry_momentum,derived,,,build_industry_momentum_features,rolling_past,yes,,value_growth_v3a_plus_industry_momentum_features,industry_momentum,active,
close,close,price_volume,raw,daily,,,daily,no,,,qlib_adapter,active,OHLCV
open,open,price_volume,raw,daily,,,daily,no,,,qlib_adapter,active,OHLCV
high,high,price_volume,raw,daily,,,daily,no,,,qlib_adapter,active,OHLCV
low,low,price_volume,raw,daily,,,daily,no,,,qlib_adapter,active,OHLCV
volume,volume,price_volume,raw,daily,,,daily,no,,,qlib_adapter,active,OHLCV
amount,amount,price_volume,raw,daily,,,daily,no,,,qlib_adapter,active,OHLCV
factor,factor,price_volume,raw,daily,,,daily,no,,,qlib_adapter,active,adjustment
vwap,vwap,price_volume,raw,daily,,,daily,no,,,qlib_adapter,active,VWAP
high_limit,high_limit,price_volume,raw,daily,,,daily,no,,,qlib_adapter,active,limit_up
low_limit,low_limit,price_volume,raw,daily,,,daily,no,,,qlib_adapter,active,limit_down
turnover_rate,turnover_rate,trading_activity,raw,daily,,,daily,no,,value_growth_60d_full_price_volume_features,qlib_adapter,active,turnover
pe,pe,valuation,raw,fina_indicator,,,point_in_time,no,,,qlib_adapter,active,PE TTM
pb,pb,valuation,raw,fina_indicator,,,point_in_time,no,,,qlib_adapter,active,PB
ps,ps,valuation,raw,fina_indicator,,,point_in_time,no,,,qlib_adapter,active,PS TTM
total_mv,total_mv,market_cap,raw,fina_indicator,,,point_in_time,no,,,qlib_adapter,active,
circ_mv,circ_mv,market_cap,raw,fina_indicator,,,point_in_time,no,,,qlib_adapter,active,
net_inflow,net_inflow,money_flow,raw,daily,,,daily,no,,,qlib_adapter,active,
big_inflow,big_inflow,money_flow,raw,daily,,,daily,no,,,qlib_adapter,active,
roe,roe,profitability,raw,fina_indicator,,,point_in_time,no,,,qlib_adapter,active,
roa,roa,profitability,raw,fina_indicator,,,point_in_time,no,,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,qlib_adapter,active,
grossprofit_margin,grossprofit_margin,profitability,raw,fina_indicator,,,point_in_time,no,,,qlib_adapter,active,
net_margin,net_margin,profitability,raw,fina_indicator,,,point_in_time,no,,value_growth_60d_v3a_full_plus_structured_pv_features; value_growth_multibagger_v1_features; value_growth_multibagger_v2_features; value_growth_multibagger_v3a_features; value_growth_v2_margin_features; value_growth_v2_shareholder_features; value_growth_v3a_plus_industry_momentum_features; value_growth_v3b_pv_features; value_growth_v3b_pv_interact_features,qlib_adapter,active,
debt_to_assets,debt_to_assets,leverage,raw,balancesheet,,,point_in_time,no,,,qlib_adapter,active,
current_ratio,current_ratio,liquidity,raw,balancesheet,,,point_in_time,no,,,qlib_adapter,active,
net_income,net_income,financial_stmt,raw,income,,,point_in_time,no,,,qlib_adapter,active,
revenue,revenue,financial_stmt,raw,income,,,point_in_time,no,,,qlib_adapter,active,
total_assets,total_assets,financial_stmt,raw,balancesheet,,,point_in_time,no,,,qlib_adapter,active,
equity,equity,financial_stmt,raw,balancesheet,,,point_in_time,no,,,qlib_adapter,active,
op_cashflow,op_cashflow,financial_stmt,raw,cashflow,,,point_in_time,no,,,qlib_adapter,active,
inventory,inventory,financial_stmt,raw,balancesheet,,,point_in_time,no,,,qlib_adapter,active,
